net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,190,Via1,via,0.0,1,2.1471e-04,2.1471e-04,2.1471e-04,2.1591e-04,0.9944,0.0,0.0,0.9944,avg,marginal,43.985,11.7,43.985,11.7
VREG,80,Metal1,metal,0.5,0,2.6228e-04,2.6228e-04,2.6228e-04,2.6989e-04,0.9718,0.0,0.0,0.9718,avg,marginal,39.5,11.7,35.0,11.7
VREG,192,Via1,via,0.0,1,2.0894e-04,2.0894e-04,2.0894e-04,2.1591e-04,0.9677,0.0,0.0,0.9677,avg,marginal,44.395,11.7,44.395,11.7
VREG,79,Metal1,metal,0.5,0,2.5757e-04,2.5757e-04,2.5757e-04,2.6989e-04,0.9544,0.0,0.0,0.9544,avg,marginal,34.75,11.7,35.0,11.7
VREG,78,Metal1,metal,0.5,0,2.4007e-04,2.4007e-04,2.4007e-04,2.6989e-04,0.8895,0.0,0.0,0.8895,avg,marginal,34.75,11.7,34.5,11.7
VREG,77,Metal1,metal,0.5,0,2.3536e-04,2.3536e-04,2.3536e-04,2.6989e-04,0.8721,0.0,0.0,0.8721,avg,marginal,30.25,11.7,34.5,11.7
VREG,172,Metal2,metal,0.5,0,4.5660e-04,4.5660e-04,4.5660e-04,5.3977e-04,0.8459,0.0,0.0,0.8459,avg,marginal,44.52,11.7,44.5,11.7
VREG,171,Metal2,metal,0.5,0,4.5660e-04,4.5660e-04,4.5660e-04,5.3977e-04,0.8459,0.0,0.0,0.8459,avg,marginal,44.25,11.7,44.5,11.7
VREG,76,Metal1,metal,0.5,0,2.1182e-04,2.1182e-04,2.1182e-04,2.6989e-04,0.7849,0.0,0.0,0.7849,avg,watch,30.25,11.7,26.0,11.7
VREG,75,Metal1,metal,0.5,0,2.0712e-04,2.0712e-04,2.0712e-04,2.6989e-04,0.7674,0.0,0.0,0.7674,avg,watch,25.75,11.7,26.0,11.7
VREG,74,Metal1,metal,0.5,0,1.7574e-04,1.7574e-04,1.7574e-04,2.6989e-04,0.6512,0.0,0.0,0.6512,avg,watch,25.75,11.7,25.5,11.7
VREG,73,Metal1,metal,0.5,0,1.7104e-04,1.7104e-04,1.7104e-04,2.6989e-04,0.6337,0.0,0.0,0.6337,avg,watch,21.0,11.7,25.5,11.7
VREG,72,Metal1,metal,0.5,0,1.3180e-04,1.3180e-04,1.3180e-04,2.6989e-04,0.4884,0.0,0.0,0.4884,avg,ok,21.0,11.7,16.5,11.7
VREG,71,Metal1,metal,0.5,0,1.2709e-04,1.2709e-04,1.2709e-04,2.6989e-04,0.4709,0.0,0.0,0.4709,avg,ok,16.25,11.7,16.5,11.7
VREG,82,Metal1,metal,0.5,0,1.0538e-04,1.0538e-04,1.0538e-04,2.6989e-04,0.3905,0.0,0.0,0.3905,avg,ok,44.25,11.7,44.0,11.7
VREG,168,Metal2,metal,0.5,0,2.0550e-04,2.0550e-04,2.0550e-04,5.3977e-04,0.3807,0.0,0.0,0.3807,avg,ok,44.25,11.7,44.0,11.7
VREG,167,Metal2,metal,0.5,0,2.0550e-04,2.0550e-04,2.0550e-04,5.3977e-04,0.3807,0.0,0.0,0.3807,avg,ok,43.92,11.7,44.0,11.7
VREG,81,Metal1,metal,0.5,0,1.0067e-04,1.0067e-04,1.0067e-04,2.6989e-04,0.373,0.0,0.0,0.373,avg,ok,39.5,11.7,44.0,11.7
VREG,83,Metal1,metal,0.5,0,9.8852e-05,9.8852e-05,9.8852e-05,2.6989e-04,0.3663,0.0,0.0,0.3663,avg,ok,44.25,11.7,44.5,11.7
VREG,84,Metal1,metal,0.5,0,9.4144e-05,9.4144e-05,9.4144e-05,2.6989e-04,0.3488,0.0,0.0,0.3488,avg,ok,47.25,11.7,44.5,11.7
VREG,70,Metal1,metal,0.5,0,8.9437e-05,8.9437e-05,8.9437e-05,2.6989e-04,0.3314,0.0,0.0,0.3314,avg,ok,16.25,11.7,16.0,11.7
VREG,69,Metal1,metal,0.5,0,8.4730e-05,8.4730e-05,8.4730e-05,2.6989e-04,0.3139,0.0,0.0,0.3139,avg,ok,11.5,11.7,16.0,11.7
VSS,11,Metal1,metal,0.21,0,3.3722e-05,3.3722e-05,3.3722e-05,1.1335e-04,0.2975,0.0,0.0,0.2975,avg,ok,42.04,-0.065,41.895,-1.13
VSS,13,Metal1,metal,0.29,0,4.1796e-05,4.1796e-05,4.1796e-05,1.5653e-04,0.267,0.0,0.0,0.267,avg,ok,42.04,-0.065,42.145,-1.13
VREG,85,Metal1,metal,0.5,0,7.0608e-05,7.0608e-05,7.0608e-05,2.6989e-04,0.2616,0.0,0.0,0.2616,avg,ok,47.25,11.7,50.0,11.7
VREG,86,Metal1,metal,0.5,0,6.5901e-05,6.5901e-05,6.5901e-05,2.6989e-04,0.2442,0.0,0.0,0.2442,avg,ok,51.0,11.7,50.0,11.7
