net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VSS,32,Metal1,metal,0.1579,0,2.8712e-04,2.8712e-04,2.8712e-04,8.5230e-05,3.3687,0.0,0.0,3.3687,avg,high,36.935,2.435,36.864,-1.13
VSS,36,Metal1,metal,0.1421,0,1.7308e-04,1.7308e-04,1.7308e-04,7.6702e-05,2.2565,0.0,0.0,2.2565,avg,over,36.935,2.435,37.014,-1.13
VREG,165,Via1,via,0.0,1,4.2432e-04,4.2432e-04,4.2432e-04,2.1591e-04,1.9652,0.0,0.0,1.9652,avg,over,44.19,11.7,44.19,11.7
VREG,84,Metal1,metal,0.34,0,3.2285e-04,3.2285e-04,3.2285e-04,1.8352e-04,1.7592,0.0,0.0,1.7592,avg,over,47.0,11.7,44.0,11.7
VREG,83,Metal1,metal,0.34,0,3.1824e-04,3.1824e-04,3.1824e-04,1.8352e-04,1.734,0.0,0.0,1.734,avg,over,41.75,11.7,44.0,11.7
VREG,82,Metal1,metal,0.34,0,3.1362e-04,3.1362e-04,3.1362e-04,1.8352e-04,1.7089,0.0,0.0,1.7089,avg,over,41.75,11.7,39.5,11.7
VREG,81,Metal1,metal,0.34,0,3.0901e-04,3.0901e-04,3.0901e-04,1.8352e-04,1.6838,0.0,0.0,1.6838,avg,over,37.25,11.7,39.5,11.7
VSS,26,Metal1,metal,0.34,0,2.8927e-04,2.8927e-04,2.8927e-04,1.8352e-04,1.5762,0.0,0.0,1.5762,avg,over,33.179,-1.3,29.414,-1.3
VREG,80,Metal1,metal,0.34,0,2.8595e-04,2.8595e-04,2.8595e-04,1.8352e-04,1.5581,0.0,0.0,1.5581,avg,over,37.25,11.7,35.0,11.7
VREG,79,Metal1,metal,0.34,0,2.8134e-04,2.8134e-04,2.8134e-04,1.8352e-04,1.533,0.0,0.0,1.533,avg,over,32.625,11.7,35.0,11.7
VSS,25,Metal1,metal,0.34,0,2.7612e-04,2.7612e-04,2.7612e-04,1.8352e-04,1.5046,0.0,0.0,1.5046,avg,over,25.65,-1.3,29.414,-1.3
VREG,78,Metal1,metal,0.34,0,2.3522e-04,2.3522e-04,2.3522e-04,1.8352e-04,1.2817,0.0,0.0,1.2817,avg,over,32.625,11.7,30.25,11.7
VREG,77,Metal1,metal,0.34,0,2.3061e-04,2.3061e-04,2.3061e-04,1.8352e-04,1.2565,0.0,0.0,1.2565,avg,over,27.875,11.7,30.25,11.7
VSS,22,Metal1,metal,0.34,0,2.1038e-04,2.1038e-04,2.1038e-04,1.8352e-04,1.1463,0.0,0.0,1.1463,avg,over,25.65,-1.3,21.886,-1.3
VSS,21,Metal1,metal,0.34,0,1.9723e-04,1.9723e-04,1.9723e-04,1.8352e-04,1.0747,0.0,0.0,1.0747,avg,over,18.121,-1.3,21.886,-1.3
VREG,76,Metal1,metal,0.34,0,1.6604e-04,1.6604e-04,1.6604e-04,1.8352e-04,0.9047,0.0,0.0,0.9047,avg,marginal,27.875,11.7,25.5,11.7
VREG,75,Metal1,metal,0.34,0,1.6142e-04,1.6142e-04,1.6142e-04,1.8352e-04,0.8796,0.0,0.0,0.8796,avg,marginal,23.25,11.7,25.5,11.7
VSS,18,Metal1,metal,0.34,0,1.5778e-04,1.5778e-04,1.5778e-04,1.8352e-04,0.8597,0.0,0.0,0.8597,avg,marginal,18.121,-1.3,14.357,-1.3
VREG,74,Metal1,metal,0.34,0,1.5681e-04,1.5681e-04,1.5681e-04,1.8352e-04,0.8545,0.0,0.0,0.8545,avg,marginal,23.25,11.7,21.0,11.7
